nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...23"
"Hogar","1","C","hogar","","1...4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...12"
"Número consecutivo de identificación","2","C","consec","","01...15"
"Pregunta P5.4 ¿De qué tipo es la (RESPUESTA DE 5.3) que tiene?","1","C","p5_4","p5_4","1...5,8"
"Pregunta P5.5 ¿Cuál es el uso principal que le da a (RESPUESTA DE 5.4)?","1","C","p5_5","p5_5","1...9"
"Pregunta P5.6 ¿Es dueña(o) total de la (RESPUESTA DE 5.4)?","1","C","p5_6","p5_6","1,2"
"Pregunta P5.7 ¿La persona con la que comparte la (RESPUESTA DE 5.4) forma parte de este hogar?","1","C","p5_7","p5_7","1,2"
"Pregunta P5.8.1 ¿Quién es esta persona?","2","C","p5_8_1","","01...08"
"Pregunta P5.8.2 ¿Quién es esta persona?","2","C","p5_8_2","","01...04"
"Pregunta P5.9 ¿De qué porcentaje (proporción) de la (RESPUESTA DE 5.4) es dueña(o)?","2","C","p5_9","","01...80"
"Pregunta P5.10 (Del porcentaje que es dueña(o)), ¿cuánto cree que vale actualmente la propiedad?","9","C","p5_10","p5_10","000000100...050000000,900000000,999999888,999999999"
"Pregunta P5.11.1 En total, ¿cuánto le costó (RESPUESTA DE 5.4)?","9","C","p5_11_1","p5_11_1","000000000...300000000,999999888,999999999"
"Pregunta P5.11.2 El costo fue en viejos pesos","1","C","p5_11_2","p5_11_2","0,1"
"Pregunta P5.12 Actualmente, ¿tiene un crédito de vivienda (hipotecario) con el que esté pagando esta propiedad?","1","C","p5_12","p5_12","1,2,9"
"Pregunta P5.13 ¿A cuántos años le dieron el crédito para (RESPUESTA DE 5.4)?","2","C","p5_13","p5_13","01...40,99"
"Pregunta P5.14 ¿Cuánto le prestaron en el crédito para (RESPUESTA DE 5.4)?","8","C","p5_14","p5_14","00007500...02800000,99999888,99999999"
"Pregunta P5.15 ¿Cuál es la mensualidad del crédito de (RESPUESTA DE 5.4)?","5","C","p5_15","p5_15","00165...26000,99888,99999"
"Pregunta P5.16 Del crédito para (RESPUESTA DE 5.4), ¿cuánto debe todavía?","8","C","p5_16","p5_16","00000001...02200000,99999888,99999999"
"Pregunta P5.17.1 ¿En cuánto tiempo más terminará de pagar el crédito de (RESPUESTA DE 5.4)?","2","C","p5_17_1","p5_17_1","00...30,99"
"Pregunta P5.17.2 ¿En cuánto tiempo más terminará de pagar el crédito de (RESPUESTA DE 5.4)?","2","C","p5_17_2","p5_17_2","00...11,99"
"Pregunta P5.18.1 ¿Cuál es la tasa de interés anual que le cobran?","2","C","p5_18_1","p5_18_1","01...94,99"
"Pregunta P5.18.2 ¿Cuál es la tasa de interés anual que le cobran?","1","C","p5_18_2","p5_18_2","0...9"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003307"
"Factor de expansión","5","C","factor","","24…13744"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
