nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...22"
"Hogar","1","C","hogar","","1...3"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...10"
"Número consecutivo de identificación","2","C","consec","","01...08"
"Pregunta P8.18 ¿Con qué institución tiene esta tarjeta de crédito bancaria?","1","C","p8_18","p8_18","1…7,9"
"Pregunta P8.19 ¿Cuánto pagó el mes pasado en la tarjeta de (RESPUESTA DE 8.18)?","5","C","p8_19","p8_19","00000...90000,99888,99999"
"Pregunta P8.20.1 ¿Cuál es la tasa de interés anual que le cobran en la tarjeta de (RESPUESTA DE 8.18)?","2","C","p8_20_1","p8_20_1","00...99"
"Pregunta P8.20.2 ¿Cuál es la tasa de interés anual que le cobran en la tarjeta de (RESPUESTA DE 8.18)?","1","C","p8_20_2","p8_20_2","0...9"
"Pregunta P8.21 Al corte del mes pasado, ¿cuánto debía en (RESPUESTA DE 8.18)?","6","C","p8_21","p8_21","000000...575000,900000,999888,999999"
"Pregunta P8.22 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago de la tarjeta de (RESPUESTA DE 8.18)?","2","C","p8_22","p8_22","00…12,99"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003306"
"Factor de expansión","5","C","factor","","24...13744"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
