nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...20"
"Hogar","1","C","hogar","","1...4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...11"
"Número consecutivo de identificación","2","C","consec","","01...06"
"Pregunta P8.40 ¿Con qué institución tiene el crédito personal?","1","C","p8_40","p8_40","1...3,9"
"Pregunta P8.41 Actualmente, ¿cuánto debe en el crédito personal de (RESPUESTA DE 8.40)?","6","C","p8_41","p8_41","000001...700000,900000,999888,999999"
"Pregunta P8.42 ¿Cuál es la mensualidad del crédito personal?","5","C","p8_42","p8_42","00001...90000,99888,99999"
"Pregunta P8.43.1 ¿Cuál es la tasa de interés anual que le cobran?","2","C","p8_43_1","p8_43_1","00...99"
"Pregunta P8.43.2 ¿Cuál es la tasa de interés anual que le cobran?","1","C","p8_43_2","p8_43_2","0...9"
"Pregunta P8.44 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago del crédito personal?","2","C","p8_44","p8_44","00...99"
"Pregunta P8.45 ¿A cuántos meses le dieron el crédito personal?","2","C","p8_45","p8_45","01...99"
"Pregunta P8.46 ¿Cuántos meses le faltan para terminar de pagar este crédito con (RESPUESTA DE 8.40)?","2","C","p8_46","p8_46","01...99"
"Pregunta P8.47 Principalmente, ¿para qué ocupó o piensa utilizar el crédito que le otorgaron?","1","C","p8_47","p8_47","1...9"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000005...0003306"
"Factor de expansión","5","C","factor","","45...13744"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
