nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...23"
"Hogar","1","C","hogar","","1...3"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...13"
"Número consecutivo de identificación","2","C","consec","","01...05"
"Pregunta P8.12 ¿Con qué tienda tiene esta tarjeta departamental?","1","C","p8_12","p8_12","1…7,9"
"Pregunta P8.13 ¿Cuánto pagó el mes pasado en la tarjeta de (RESPUESTA DE 8.12)?","5","C","p8_13","p8_13","00000...35000,99888,99999"
"Pregunta P8.14.1 ¿Cuál es la tasa de interés anual que le cobran en la tarjeta de (RESPUESTA DE 8.12)?","2","C","p8_14_1","p8_14_1","00…99"
"Pregunta P8.14.2 ¿Cuál es la tasa de interés anual que le cobran en la tarjeta de (RESPUESTA DE 8.12)?","1","C","p8_14_2","p8_14_2","0…9"
"Pregunta P8.15 Al corte del mes pasado, ¿cuánto debía en (RESPUESTA DE 8.12)?","6","C","p8_15","p8_15","000000...200000,999888,999999"
"Pregunta P8.16 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago de la tarjeta de (RESPUESTA DE 8.12)?","2","C","p8_16","p8_16","00…12,99"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003306"
"Factor de expansión","5","C","factor","","24...19063"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
