nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...23"
"Hogar","1","C","hogar","","1...4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...12"
"Número consecutivo de identificación","2","C","consec","","01...05"
"Pregunta P6.9 Sin contar el valor del inmueble, si tuviera que vender o traspasar el (RESPUESTA DE 6.8) con toda la mercancía, autos a nombre del negocio, maquinaria, herramientas y mobiliario que tiene, ¿en cuánto lo vendería?","9","C","p6_9","p6_9","000000001...200000000,999999888,999999999"
"Pregunta P6.10 ¿Usted utilizó recursos propios para iniciar o adquirir el (RESPUESTA DE 6.8)?","1","C","p6_10","p6_10","1,2"
"Pregunta P6.11 ¿Usted tiene algún apoyo o crédito con adeudo vigente para el (RESPUESTA DE 6.8)?","1","C","p6_11","p6_11","1,2,9"
"Pregunta P6.12 ¿El crédito o apoyo del (RESPUESTA DE 6.8) lo usó para financiar...?","1","C","p6_12","p6_12","1...3"
"Pregunta P6.13.1 ¿El (los) préstamo(s) o crédito(s) del (RESPUESTA DE 6.8) lo(s) pidió a la banca comercial?","1","C","p6_13_1","p6_13_1","1,2"
"Pregunta P6.13.2 ¿El (los) préstamo(s) o crédito(s) del (RESPUESTA DE 6.8) lo(s) pidió a la banca de desarrollo (NAFIN, Banjercito, Bansefi)?","1","C","p6_13_2","p6_13_2","1,2"
"Pregunta P6.13.3 ¿El (los) préstamo(s) o crédito(s) del (RESPUESTA DE 6.8) lo(s) pidió a familiares, amigos, prestamistas o agiotistas?","1","C","p6_13_3","p6_13_3","1,2"
"Pregunta P6.13.4 ¿El (los) préstamo(s) o crédito(s) del (RESPUESTA DE 6.8) lo(s) pidió al gobierno como un apoyo o subsidio (Federal, Estatal o Municipal)?","1","C","p6_13_4","p6_13_4","1,2"
"Pregunta P6.13.5 Otro","1","C","p6_13_5","p6_13_5","1,2"
"Pregunta P6.14 ¿Cuánto le prestaron en el (los) crédito(s) del (RESPUESTA DE 6.8)?","7","C","p6_14","p6_14","0001000...2500000,9999888,9999999"
"Pregunta P6.15 ¿Cuánto paga de mensualidad del (los) crédito(s) para el (RESPUESTA DE 6.8)?","5","C","p6_15","p6_15","00000...50000,99888,99999"
"Pregunta P6.16 ¿A cuántos meses le dieron el (los) crédito(s) para el (RESPUESTA DE 6.8)?","2","C","p6_16","p6_16","00...90,99"
"Pregunta P6.17 De lo que le prestaron del (RESPUESTA DE 6.8), ¿cuánto debe todavía?","7","C","p6_17","p6_17","0000100...1000000,9999888,9999999"
"Pregunta P6.18 ¿En qué año inició o adquirió el (RESPUESTA DE 6.8)?","4","C","p6_18","p6_18","1946...2019,9999"
"Pregunta P6.19 De octubre de 2018 a la fecha, ¿solicitó algún crédito en un banco o institución financiera para el inicio u operación del (RESPUESTA DE 6.8)?","1","C","p6_19","p6_19","1,2"
"Pregunta P6.20 ¿La solicitud fue...?","1","C","p6_20","p6_20","1...3"
"Pregunta P6.21 ¿Por cuál banco o institución financiera le fue (RESPUESTA DE 6.20)?","1","C","p6_21","p6_21","1...7,9"
"Pregunta P6.22 ¿Usted tiene un seguro para el (RESPUESTA DE 6.8)?","1","C","p6_22","p6_22","1,2"
"Pregunta P6.22A ¿Algunas personas o proveedores le dejan a crédito mercancía, materiales o insumos para el (RESPUESTA DE 6.8)?","1","C","p6_22a","p6_22a","1,2"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000005...0003307"
"Factor de expansión","5","C","factor","","45...21854"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
