nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...21"
"Hogar","1","C","hogar","","1…3"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...07"
"Número consecutivo de identificación","2","C","consec","","01,02"
"Pregunta P7.16 El crédito de la Motocicleta, ¿se lo dieron en...?","1","C","p7_16","p7_16","1…4,9"
"Pregunta P7.17 ¿Cuánto le prestaron en el crédito de la Motocicleta?","7","C","p7_17","p7_17","0007000...0150000,9999999"
"Pregunta P7.18 ¿Cuánto paga de mensualidad de la Motocicleta?","5","C","p7_18","p7_18","00230…15000,99999"
"Pregunta P7.19 ¿A cuántos meses le dieron el crédito de la (Motocicleta)?","2","C","p7_19","p7_19","03…48,99"
"Pregunta P7.20 ¿Cuántos meses le faltan para terminar de pagar el crédito de la Motocicleta?","2","C","p7_20","p7_20","01…48,99"
"Pregunta P7.21 De lo que le prestaron de la Motocicleta, ¿cuánto debe todavía?","7","C","p7_21","p7_21","0002000…0050000,9999999"
"Pregunta P7.22.1 ¿Cuál es la tasa de interés anual del crédito de la Motocicleta?","2","C","p7_22_1","p7_22_1","00…50,99"
"Pregunta P7.22.2 ¿Cuál es la tasa de interés anual del crédito de la Motocicleta?","1","C","p7_22_2","p7_22_2","0…9"
"Pregunta P7.23 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago de la Motocicleta?","2","C","p7_23","p7_23","00…06"
"Estrato de diseño","3","C","edis","","001…407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000014...0003306"
"Factor de expansión","4","C","factor","","65...9155"
"Estrato","1","C","estrato","","1…4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
